New Account No,Opportunity ID,New Opportunity Name,Est Completion Month ID,Product Category,Opportunity Stage,Est Opportunity Value
783131529,8-3IL6669,Phase - 1: Improve employee retention,117,Project,Stage - 0,12000
783153529,7-VOPB858,Phase - 7: Attract and retain the best people,113,Services,Stage - 4,20000
784127530,5-NE24983,Phase - 5: Build high-performing teams,115,Project,Stage - 5,20000
784151530,6-GXUL768,Phase - 5: Maintain alignment across the organization,120,Services,Stage - 0,25000
785142531,9-HOIR731,Phase - 1: Develop leadership abilities and potential of the team,111,Support,Stage - 2,0
787127533,5-F62B981,Phase - 5: Grow shareholder value,115,Labour,Stage - 4,1000
789178535,9-F5RR891,Phase - 4: Grow earnings per share,114,Project,Stage - 4,1000
790119536,8-F5RR571,Phase - 6: Increase revenue,111,Labour,Stage - 4,4000
790148536,6-CFUI697,Phase - 7: Manage cost,119,Project,Stage - 5,3000
791111537,5-CFUI728,Phase - 3: Maintain appropriate financial leverage,116,Services,Stage - 5,4000
791159537,9-QRIP611,Phase - 3: Ensure favorable bond ratings,111,Labour,Stage - 4,10000
79211538,8-QRIP752,Phase - 4: Balance the budget,114,Project,Stage - 4,5000
792125538,6-IAKF775,Phase - 6: Ensure financial sustainability,119,Services,Stage - 2,2500
794127540,5-ROZR722,Phase - 4: Maintain profitability,117,Project,Stage - 4,1000
795171541,9-V3NX871,Phase - 2: Diversify and grow revenue streams,117,Services,Stage - 3,2000
795175541,5-V3NX867,Phase - 2: Best value for the cost,115,Support,Stage - 0,2000
796111542,9-HD74941,Phase - 1: Broad product offering,114,Labour,Stage - 0,1000
800111546,8-KFMB633,Phase - 4: Reliable products/services,111,Project,Stage - 2,3000
800137546,5-EU6D753,Phase - 5: Cross-sell more products,112,Project,Stage - 3,3000
800168546,8-KQLV842,Phase - 3: Increase share of market,118,Services,Stage - 3,5000
803136549,7-2IA4814,Phase - 7: Increase share of wallet,110,Project,Stage - 5,1000
804118550,8-63UX864,Phase - 2: Partner with customers to provide solutions,114,Services,Stage - 1,1000
804138550,7-44WY942,Phase - 3: Best service,119,Support,Stage - 0,2000
805127551,7-575B614,Phase - 4: Understands my needs,118,Labour,Stage - 1,1000
808132554,9-6FCX674,Phase - 2: Most innovative products/services,120,Project,Stage - 4,15000
808133554,6-QXGC676,Phase - 4: Differentiate the product,119,Services,Stage - 4,6825.0068
809129555,6-QXGC592,Phase - 6: Invest a certain amount in innovation,116,Support,Stage - 5,95550.0956
81014556,5-QXGC822,Phase - 2: Grow percentage of sales from new products,109,Labour,Stage - 5,68250.0683
810159556,6-6Y4K928,Phase - 2: Improve or focus research and development (R&D),112,Project,Stage - 2,1160.2512
812138558,6-JO5Y809,Phase - 1: Acquire new customers from innovative offerings,112,Services,Stage - 0,0
812157558,8-JO5Y939,Phase - 5: Great customer service,111,Support,Stage - 0,20475.0205
81313559,9-4SBT554,Phase - 3: Improve customer service,110,Labour,Stage - 2,6300
813154559,9-4SBT843,Phase - 6: Invest in customer management,113,Project,Stage - 5,1950
821121567,5-UEQI699,Phase - 7: Partner with customers to design solutions,114,Labour,Stage - 2,8100
82117567,5-UEQI646,Phase - 2: Improve customer satisfaction,112,Project,Stage - 5,1750
82211568,9-AERW876,Phase - 5: Improve customer retention,111,Services,Stage - 4,16380.0164
823159569,5-AERW839,Phase - 2: Develop and use a customer database,114,Labour,Stage - 4,13650.0137
824118570,6-EMX6827,Phase - 4: Reduce cost by a certain amount annually,119,Project,Stage - 2,500
824121570,7-PLVO983,Phase - 3: Reduce waste by a certain amount,118,Services,Stage - 5,8000
82414570,5-PLVO955,Phase - 6: Invest in Total Quality Management,118,Project,Stage - 1,1000
825145571,7-EEEO740,Phase - 7: Reduce error rates,119,Services,Stage - 0,3348.3483
825151571,7-EEEO656,Phase - 3: Improve and maintain workplace safety,113,Support,Stage - 4,5959.596
826149572,8-N4XJ731,Phase - 6: Reduce energy usage per unit of production,116,Labour,Stage - 4,850
828169574,9-N4XJ574,Phase - 6: Capitalize on physical facilities,113,Project,Stage - 5,3750
82912575,6-S5ER765,Phase - 3: Streamline core business processes,111,Project,Stage - 0,1000
829138575,5-KZXM672,Phase - 3: Increase reliability of operations,112,Services,Stage - 3,1923
830134576,5-5CMW908,Phase - 6: Ensure compliance,120,Project,Stage - 5,1000
832116578,9-65CY640,Phase - 3: Increase recycling,116,Services,Stage - 1,1000
832149578,6-65CY605,Phase - 5: Improve reporting and transparency,111,Project,Stage - 2,5000
832154578,7-QU7O814,Phase - 5: Increase community outreach,116,Services,Stage - 1,3199.5632
834158580,6-QU7O745,Phase - 4: Optimize control framework,118,Project,Stage - 5,5989.626
835171581,9-QU7O753,Phase - 2: Improve technical and analytical skills,109,Services,Stage - 4,2713.6227
837161583,6-VJO4995,Phase - 2: Improve a certain skill,110,Services,Stage - 4,10000
837173583,9-GDQH920,Phase - 3: Create a performance-focused culture,117,Support,Stage - 4,3154.5182
838125584,8-BFI6704,Phase - 5: Improve productivity with cross-functional teams,115,Labour,Stage - 5,15611.5206
83914585,5-BFI6820,Phase - 3: Invest in tools to make staff more productive,118,Project,Stage - 2,19852.5799
840135586,7-BFI6975,Phase - 5: Improve employee retention,111,Services,Stage - 3,33662.2987
840136586,8-73SO700,Phase - 7: Attract and retain the best people,117,Support,Stage - 3,1
842127588,9-VCJJ704,Phase - 1: Build high-performing teams,120,Labour,Stage - 2,3900
843161589,9-C5VR961,Phase - 2: Maintain alignment across the organization,112,Project,Stage - 0,8820
844111590,6-PXTO829,Phase - 6: Develop leadership abilities and potential of the team,112,Services,Stage - 4,1.365
845152591,9-WRLR849,Phase - 6: Grow shareholder value,114,Support,Stage - 1,10000
846124592,8-KO6Z920,Phase - 4: Grow earnings per share,110,Labour,Stage - 3,1500
846135592,8-BVR7703,Phase - 6: Increase revenue,112,Project,Stage - 0,1365.0014
846158592,7-SCK7808,Phase - 7: Manage cost,118,Labour,Stage - 4,20000
847133593,8-SCK7712,Phase - 4: Maintain appropriate financial leverage,112,Project,Stage - 3,5000
848126594,9-X2BJ888,Phase - 1: Ensure favorable bond ratings,117,Services,Stage - 0,20000
84813594,7-7QDH966,Phase - 3: Balance the budget,112,Labour,Stage - 4,2000
848172594,5-OUZN865,Phase - 2: Ensure financial sustainability,120,Project,Stage - 5,4000
849148595,8-XCF2713,Phase - 4: Maintain profitability,118,Services,Stage - 0,10000
850142596,9-C3D6839,Phase - 2: Diversify and grow revenue streams,111,Project,Stage - 3,5000
850178596,5-TRTW830,Phase - 3: Best value for the cost,120,Services,Stage - 1,2400.0096
851147597,6-46WJ579,Phase - 4: Broad product offering,120,Support,Stage - 4,120000.48
852155598,9-6ZLK703,Phase - 7: Reliable products/services,117,Labour,Stage - 4,75075.0751
853115599,5-5HZ7838,Phase - 7: Cross-sell more products,119,Project,Stage - 5,122850.1229
853122599,9-SYBI600,Phase - 4: Increase share of market,115,Project,Stage - 4,6000.024
854129600,6-Y4DR756,Phase - 6: Increase share of wallet,120,Services,Stage - 0,25000
854139600,8-Y4DR889,Phase - 6: Partner with customers to provide solutions,112,Project,Stage - 5,50000
855124601,9-Y4DR602,Phase - 4: Best service,110,Services,Stage - 4,5000
855145601,5-RWED782,Phase - 4: Understands my needs,113,Project,Stage - 1,30000
855154601,8-TYEK821,Phase - 3: Most innovative products/services,109,Services,Stage - 5,1000
855161601,5-TYEK986,Phase - 3: Differentiate the product,118,Project,Stage - 2,3000
858143604,6-4VP7906,Phase - 6: Invest a certain amount in innovation,116,Services,Stage - 0,100
859129605,5-35QD990,Phase - 7: Grow percentage of sales from new products,110,Support,Stage - 1,1000
859168605,9-7R5F666,Phase - 6: Improve or focus research and development (R&D),112,Labour,Stage - 3,5000
86013606,5-Q4NK987,Phase - 4: Acquire new customers from innovative offerings,120,Project,Stage - 2,1.365
864115610,6-Q4NK903,Phase - 6: Great customer service,113,Labour,Stage - 5,2730.0027
864167610,6-EHAF599,Phase - 3: Improve customer service,113,Project,Stage - 3,2000
865119611,7-VVIE733,Phase - 4: Invest in customer management,117,Services,Stage - 1,9000
86512611,6-VVIE568,Phase - 7: Partner with customers to design solutions,114,Labour,Stage - 0,15000
86516611,6-ZM3T894,Phase - 2: Improve customer satisfaction,117,Project,Stage - 5,2000
866127612,6-ZM3T785,Phase - 6: Improve customer retention,109,Services,Stage - 4,12000
866131612,5-BDUK806,Phase - 5: Develop and use a customer database,115,Project,Stage - 3,4000
866176612,9-AAAJ998,Phase - 3: Reduce cost by a certain amount annually,113,Services,Stage - 5,500
867152613,8-AAAJ745,Phase - 6: Reduce waste by a certain amount,110,Support,Stage - 2,500
869128615,6-VOLR744,Phase - 1: Invest in Total Quality Management,113,Labour,Stage - 1,1000
871152617,7-42KQ844,Phase - 7: Reduce error rates,112,Project,Stage - 2,1000
87116617,9-DVA7584,Phase - 3: Improve and maintain workplace safety,116,Project,Stage - 1,1500
872147618,7-DVA7660,Phase - 5: Reduce energy usage per unit of production,117,Services,Stage - 0,7500
873127619,7-DVA7780,Phase - 6: Capitalize on physical facilities,111,Project,Stage - 0,7500
873142619,5-W4DY563,Phase - 6: Streamline core business processes,111,Services,Stage - 2,10000
874126620,8-Z4Q6644,Phase - 4: Increase reliability of operations,113,Project,Stage - 0,5000
875157621,6-4L5R551,Phase - 6: Ensure compliance,111,Services,Stage - 1,2500
878113624,9-75LZ847,Phase - 6: Increase recycling,117,Project,Stage - 0,500
880152626,5-HROB592,Phase - 6: Improve reporting and transparency,116,Services,Stage - 0,10000
88112627,6-3GZB968,Phase - 2: Increase community outreach,111,Support,Stage - 0,3000
883134629,7-5FGW974,Phase - 4: Optimize control framework,117,Labour,Stage - 5,1000
885136631,8-DW4U787,Phase - 6: Improve technical and analytical skills,111,Project,Stage - 3,1000
88613632,6-IVC4642,Phase - 1: Improve a certain skill,119,Labour,Stage - 1,1365.0014
886154632,8-IVC4994,Phase - 5: Create a performance-focused culture,119,Project,Stage - 2,25935.0259
888139634,8-JXGI940,Phase - 1: Improve productivity with cross-functional teams,114,Services,Stage - 0,27300.0273
889115635,8-DFXA766,Phase - 2: Invest in tools to make staff more productive,118,Labour,Stage - 5,13650.0137
891122637,5-DFXA653,Phase - 4: Improve employee retention,120,Project,Stage - 5,27300.0273
892154638,6-XB5H606,Phase - 3: Attract and retain the best people,111,Services,Stage - 2,6825.0068
893119639,7-XB5H957,Phase - 4: Build high-performing teams,117,Project,Stage - 0,13650.0137
893127639,6-FQNL571,Phase - 1: Maintain alignment across the organization,118,Services,Stage - 0,2730.0027
893158639,8-FQNL966,Phase - 6: Develop leadership abilities and potential of the team,115,Support,Stage - 1,4095.0041
894123640,6-476J961,Phase - 7: Grow shareholder value,118,Labour,Stage - 5,2730.0027
895126641,9-4WDA898,Phase - 3: Grow earnings per share,115,Project,Stage - 4,27300.0273
89516641,8-4WDA902,Phase - 6: Increase revenue,116,Project,Stage - 1,3412.5034
897112643,9-MG5Q884,Phase - 2: Manage cost,120,Services,Stage - 0,4095.0041
898151644,7-MG5Q554,Phase - 7: Maintain appropriate financial leverage,115,Project,Stage - 5,10237.5102
90314649,9-VROV820,Phase - 5: Ensure favorable bond ratings,115,Services,Stage - 4,9555.0096
903155649,7-VROV864,Phase - 4: Balance the budget,119,Support,Stage - 3,6825.0068
90415650,6-P5XT695,Phase - 1: Ensure financial sustainability,117,Labour,Stage - 2,27300.0273
904162650,9-P5XT686,Phase - 1: Maintain profitability,110,Project,Stage - 1,68250.0683
905154651,5-DSBC585,Phase - 3: Diversify and grow revenue streams,112,Services,Stage - 4,6825.0068
905159651,6-4THZ637,Phase - 6: Best value for the cost,109,Support,Stage - 4,5460.0055
906151652,5-FGUF711,Phase - 4: Broad product offering,117,Labour,Stage - 3,4095.0041
907113653,9-FGUF698,Phase - 6: Reliable products/services,111,Project,Stage - 0,6825.0068
907169653,5-G2IG712,Phase - 6: Cross-sell more products,116,Services,Stage - 2,-6825.0068
909115655,9-XMEE785,Phase - 4: Increase share of market,113,Support,Stage - 5,1365.0014
909124655,8-XMEE807,Phase - 7: Increase share of wallet,120,Labour,Stage - 3,2730.0027
909172655,6-XMEE995,Phase - 2: Partner with customers to provide solutions,111,Project,Stage - 2,2730.0027
910114656,7-7ZZV697,Phase - 5: Best service,119,Labour,Stage - 0,6825.0068
91014656,7-7ZZV581,Phase - 6: Understands my needs,119,Project,Stage - 3,2730.0027
911118657,5-CL2J809,Phase - 7: Most innovative products/services,115,Services,Stage - 3,13650.0137
911124657,5-E6IB687,Phase - 6: Differentiate the product,112,Labour,Stage - 1,2730.0027
911125657,9-E6IB882,Phase - 7: Invest a certain amount in innovation,119,Project,Stage - 5,2730.0027
912115658,8-7GLL935,Phase - 2: Grow percentage of sales from new products,114,Services,Stage - 3,6825.0068
913121659,7-7GLL799,Phase - 7: Improve or focus research and development (R&D),110,Project,Stage - 1,13650.0137
916117662,8-PSMF926,Phase - 4: Acquire new customers from innovative offerings,114,Services,Stage - 1,9100
91816664,9-TJW6699,Phase - 7: Great customer service,110,Support,Stage - 2,1365.0014
919153665,6-QJUY983,Phase - 7: Improve customer service,116,Labour,Stage - 2,7166.2572
919162665,9-3GKV750,Phase - 3: Invest in customer management,113,Project,Stage - 0,500
920117666,9-56LX959,Phase - 1: Partner with customers to design solutions,112,Project,Stage - 1,6000
92012666,5-JYII904,Phase - 5: Improve customer satisfaction,109,Services,Stage - 0,10000
922117668,6-FORX559,Phase - 7: Improve customer retention,116,Project,Stage - 5,6825.0068
924139670,7-FRN3877,Phase - 6: Develop and use a customer database,116,Services,Stage - 4,250000
924146670,5-BA4W631,Phase - 2: Reduce cost by a certain amount annually,116,Project,Stage - 3,15000
927114673,6-KC2H716,Phase - 7: Reduce waste by a certain amount,113,Services,Stage - 3,1365.0014
927159673,8-KC2H810,Phase - 1: Invest in Total Quality Management,109,Project,Stage - 0,0
928121674,9-BXCC798,Phase - 1: Reduce error rates,110,Services,Stage - 3,4095.0041
928122674,5-OXFR601,Phase - 5: Improve and maintain workplace safety,120,Services,Stage - 5,15000
928127674,8-VGRR692,Phase - 6: Reduce energy usage per unit of production,120,Support,Stage - 1,5500
928171674,5-5LX7941,Phase - 2: Capitalize on physical facilities,118,Labour,Stage - 3,3000
929122675,7-VKAN875,Phase - 6: Streamline core business processes,110,Project,Stage - 2,1000
930151676,7-QCMJ987,Phase - 1: Increase reliability of operations,117,Services,Stage - 3,3000
931121677,8-LTJE894,Phase - 4: Ensure compliance,118,Support,Stage - 5,1200
931136677,8-PVSN957,Phase - 1: Increase recycling,119,Labour,Stage - 5,1023.751
933126679,6-JVFH552,Phase - 7: Improve reporting and transparency,115,Project,Stage - 0,682.5007
935126681,6-JVFH872,Phase - 1: Increase community outreach,113,Services,Stage - 0,682.5007
936123682,8-XVFL643,Phase - 1: Optimize control framework,119,Support,Stage - 2,1.365
938117684,8-OBPP849,Phase - 1: Improve technical and analytical skills,116,Labour,Stage - 2,8190.0082
93816684,6-VB5S971,Phase - 3: Improve a certain skill,112,Project,Stage - 5,10000
939119685,6-DZK2936,Phase - 4: Create a performance-focused culture,113,Labour,Stage - 3,2318
939124685,7-DZK2910,Phase - 6: Improve productivity with cross-functional teams,114,Project,Stage - 2,5000
939157685,6-532B932,Phase - 7: Invest in tools to make staff more productive,109,Services,Stage - 0,6142.5061
940168686,5-532B915,Phase - 2: Improve employee retention,116,Labour,Stage - 4,682.5007
941154687,8-65P3768,Phase - 6: Attract and retain the best people,115,Project,Stage - 1,2384.6574
942149688,7-65P3764,Phase - 6: Build high-performing teams,113,Services,Stage - 3,14264.2643
944131690,9-6C7C732,Phase - 2: Maintain alignment across the organization,118,Project,Stage - 3,546.0005
945117691,8-6C7C558,Phase - 4: Develop leadership abilities and potential of the team,112,Services,Stage - 1,6825.0068
945123691,6-6C7C971,Phase - 6: Grow shareholder value,112,Support,Stage - 3,40950.041
945138691,6-CJ53590,Phase - 4: Grow earnings per share,117,Labour,Stage - 0,28000
946113692,8-WRCT639,Phase - 3: Increase revenue,114,Project,Stage - 2,25935.0259
946139692,5-WRCT930,Phase - 1: Manage cost,117,Project,Stage - 2,28665.0287
947135693,8-WRCT807,Phase - 7: Maintain appropriate financial leverage,110,Services,Stage - 5,32760.0328
94917695,8-WRCT985,Phase - 4: Ensure favorable bond ratings,116,Project,Stage - 3,36855.0369
950123696,6-WRCT707,Phase - 7: Balance the budget,120,Services,Stage - 0,42315.0423
950156696,5-VW3A952,Phase - 4: Ensure financial sustainability,118,Project,Stage - 2,8000
951147697,6-VW3A747,Phase - 3: Maintain profitability,112,Services,Stage - 3,8000
952115698,6-VW3A753,Phase - 1: Diversify and grow revenue streams,112,Project,Stage - 5,5000
953115699,8-VW3A729,Phase - 7: Best value for the cost,118,Services,Stage - 0,1000
953121699,9-EMUR985,Phase - 4: Broad product offering,114,Support,Stage - 2,1000
953127699,5-EMUR891,Phase - 4: Reliable products/services,114,Labour,Stage - 1,5000
953128699,5-YWSH671,Phase - 1: Cross-sell more products,110,Project,Stage - 0,12458.3675
953155699,9-XN3G773,Phase - 1: Increase share of market,117,Labour,Stage - 2,17904.7229
954154700,9-UQC3736,Phase - 7: Increase share of wallet,115,Project,Stage - 3,34125.0341
955118701,9-UCYX850,Phase - 5: Partner with customers to provide solutions,115,Services,Stage - 5,0
95514701,9-UCYX686,Phase - 1: Best service,112,Labour,Stage - 3,500
956135702,6-UCYX789,Phase - 6: Understands my needs,114,Project,Stage - 5,10000
957114703,8-7YQC983,Phase - 5: Most innovative products/services,109,Services,Stage - 5,500
958147704,8-7YQC627,Phase - 2: Differentiate the product,113,Project,Stage - 1,10000
960122706,6-7YQC722,Phase - 6: Invest a certain amount in innovation,120,Services,Stage - 3,500
960158706,6-53I4588,Phase - 3: Grow percentage of sales from new products,120,Support,Stage - 4,682.5007
961121707,9-45MX688,Phase - 5: Improve or focus research and development (R&D),111,Labour,Stage - 3,20475.0205
961123707,9-LH5J967,Phase - 1: Acquire new customers from innovative offerings,119,Project,Stage - 1,27300.0273
962135708,9-LH5J948,Phase - 6: Great customer service,116,Project,Stage - 5,13650.0137
963138709,8-LH5J821,Phase - 3: Improve customer service,109,Services,Stage - 0,1365.0014
96414710,8-AGR7890,Phase - 7: Invest in customer management,116,Project,Stage - 4,5000
965142711,7-X3Y2802,Phase - 5: Partner with customers to design solutions,114,Services,Stage - 5,5000
965168711,7-R7GA979,Phase - 3: Improve customer satisfaction,114,Project,Stage - 4,13650.0137
966117712,6-R7GA802,Phase - 1: Improve customer retention,115,Services,Stage - 1,3412.5034
966134712,5-6OMD887,Phase - 5: Develop and use a customer database,112,Project,Stage - 0,1365.0014
966152712,7-6OMD643,Phase - 6: Reduce cost by a certain amount annually,119,Services,Stage - 2,6825.0068
967134713,6-VASR655,Phase - 4: Reduce waste by a certain amount,120,Support,Stage - 2,5000
969154715,7-VASR885,Phase - 4: Invest in Total Quality Management,115,Labour,Stage - 0,5000
969159715,8-4GQD926,Phase - 3: Reduce error rates,119,Project,Stage - 3,5000
970176716,9-MGK2923,Phase - 6: Improve and maintain workplace safety,119,Labour,Stage - 3,5000
974119720,8-MGK2846,Phase - 4: Reduce energy usage per unit of production,117,Project,Stage - 4,5000
974148720,5-MGK2746,Phase - 3: Capitalize on physical facilities,116,Services,Stage - 1,10000
97415720,6-3F67997,Phase - 4: Streamline core business processes,119,Labour,Stage - 1,1638.0016
975117721,5-3F67950,Phase - 2: Increase reliability of operations,112,Project,Stage - 1,2184.0022
97513721,5-4ZUO589,Phase - 6: Ensure compliance,117,Services,Stage - 4,1365.0014
975137721,5-4ZUO667,Phase - 4: Increase recycling,116,Project,Stage - 3,1365.0014
975151721,6-CQAA653,Phase - 4: Improve reporting and transparency,110,Services,Stage - 1,5000
97611722,9-XSV7718,Phase - 7: Increase community outreach,117,Support,Stage - 3,2047.502
977142723,7-XSV7962,Phase - 7: Optimize control framework,116,Labour,Stage - 1,2730.0027
979114725,7-HWTO869,Phase - 3: Improve technical and analytical skills,112,Project,Stage - 5,800
979169725,6-HWTO792,Phase - 3: Improve a certain skill,113,Project,Stage - 4,100
980112726,5-HWTO574,Phase - 7: Create a performance-focused culture,115,Services,Stage - 3,100
980138726,5-JMPG607,Phase - 7: Improve productivity with cross-functional teams,111,Project,Stage - 3,2730.0027
980162726,5-JMPG935,Phase - 1: Invest in tools to make staff more productive,113,Project,Stage - 2,4095.0041
981117727,6-JZWI882,Phase - 5: Improve employee retention,111,Project,Stage - 5,5000
982131728,8-JZWI885,Phase - 3: Attract and retain the best people,114,Services,Stage - 0,15000
98312729,6-FAE7868,Phase - 2: Build high-performing teams,109,Project,Stage - 5,1000
984132730,5-FAE7588,Phase - 2: Maintain alignment across the organization,117,Services,Stage - 3,8000
985115731,9-P7LS861,Phase - 4: Develop leadership abilities and potential of the team,110,Project,Stage - 3,3000
986144732,5-LIBZ665,Phase - 7: Grow shareholder value,119,Services,Stage - 0,5000
98711733,8-LIBZ679,Phase - 2: Grow earnings per share,112,Project,Stage - 3,2500
987145733,8-LIBZ822,Phase - 4: Increase revenue,116,Services,Stage - 0,2500
987161733,8-DLSK987,Phase - 4: Manage cost,112,Support,Stage - 3,5000
988115734,8-H5X4561,Phase - 4: Maintain appropriate financial leverage,114,Labour,Stage - 2,5000
988127734,6-JZ25876,Phase - 7: Ensure favorable bond ratings,111,Project,Stage - 3,5000
98913735,5-JZ25786,Phase - 7: Balance the budget,116,Labour,Stage - 4,5000
991111737,5-3DFQ816,Phase - 5: Ensure financial sustainability,118,Project,Stage - 3,20475.0205
991127737,9-K34I855,Phase - 2: Maintain profitability,115,Services,Stage - 5,40950.041
993119739,7-D5IJ556,Phase - 7: Diversify and grow revenue streams,120,Labour,Stage - 0,5000
994168740,7-D5IJ890,Phase - 6: Best value for the cost,114,Project,Stage - 1,5000
994175740,5-I4NL974,Phase - 2: Broad product offering,120,Services,Stage - 4,5000
995127741,8-AMHK770,Phase - 2: Reliable products/services,111,Project,Stage - 0,7061.1521
995137741,5-IBN4764,Phase - 5: Cross-sell more products,120,Services,Stage - 5,40950.041
995153741,9-ZIMT847,Phase - 7: Increase share of market,115,Support,Stage - 5,68250.0683
996156742,6-KCMC988,Phase - 5: Increase share of wallet,115,Labour,Stage - 2,955.501
997152743,9-343S610,Phase - 1: Partner with customers to provide solutions,120,Project,Stage - 3,955.501
999148745,8-EF2K922,Phase - 2: Best service,114,Project,Stage - 5,1365.0014
999169745,9-4CNS778,Phase - 6: Understands my needs,119,Services,Stage - 3,1200
729135475,5-WONT877,Phase - 5: Most innovative products/services,119,Project,Stage - 1,5000
72914475,8-WONT867,Phase - 7: Differentiate the product,110,Services,Stage - 4,5000
730138476,5-2F7J986,Phase - 2: Invest a certain amount in innovation,115,Support,Stage - 3,13490
73016476,6-2F7J913,Phase - 7: Grow percentage of sales from new products,120,Labour,Stage - 1,3000
73211478,7-R7LN803,Phase - 3: Improve or focus research and development (R&D),111,Project,Stage - 4,27300.0273
735124481,5-R7LN942,Phase - 4: Acquire new customers from innovative offerings,110,Services,Stage - 0,27300.0273
735153481,7-K72X866,Phase - 3: Great customer service,117,Support,Stage - 4,11943.7619
735173481,8-K72X613,Phase - 5: Improve customer service,111,Labour,Stage - 5,34125.0341
736119482,8-XU2O623,Phase - 3: Invest in customer management,117,Project,Stage - 3,7644.0076
737119483,9-MFOW711,Phase - 4: Partner with customers to design solutions,120,Services,Stage - 1,2730.0027
743169489,7-IO2U971,Phase - 1: Improve customer satisfaction,116,Support,Stage - 3,535
74412490,7-IO2U807,Phase - 2: Improve customer retention,119,Labour,Stage - 1,535
744125490,5-ESGV860,Phase - 5: Develop and use a customer database,115,Project,Stage - 2,3000
745122491,5-HOXE914,Phase - 1: Reduce cost by a certain amount annually,110,Labour,Stage - 4,25000
746165492,7-GYK5923,Phase - 5: Reduce waste by a certain amount,110,Project,Stage - 5,7000
747132493,9-K566876,Phase - 7: Invest in Total Quality Management,117,Services,Stage - 5,2730.0027
748113494,7-5RAN826,Phase - 7: Reduce error rates,115,Labour,Stage - 2,32000
748114494,9-5RAN714,Phase - 4: Improve and maintain workplace safety,113,Project,Stage - 5,64000
748142494,5-U4ZI851,Phase - 7: Reduce energy usage per unit of production,110,Services,Stage - 0,10000
748149494,7-XO2T582,Phase - 4: Capitalize on physical facilities,118,Project,Stage - 0,2000
749168495,7-XO2T718,Phase - 6: Streamline core business processes,119,Services,Stage - 1,1500
750111496,7-FY3P664,Phase - 1: Increase reliability of operations,110,Support,Stage - 0,15600.0624
75014496,9-ZP5X566,Phase - 6: Ensure compliance,120,Labour,Stage - 4,180000.72
752142498,8-GF4F754,Phase - 1: Increase recycling,111,Project,Stage - 5,12000.048
753144499,6-GF4F945,Phase - 1: Improve reporting and transparency,116,Project,Stage - 3,24000.096
75512501,7-RKGE784,Phase - 6: Increase community outreach,116,Services,Stage - 1,30000.12
757143503,9-4QAU633,Phase - 4: Optimize control framework,120,Project,Stage - 1,20000
758119504,7-4QAU583,Phase - 6: Improve technical and analytical skills,112,Services,Stage - 3,20000
758124504,8-4QAU617,Phase - 3: Improve a certain skill,113,Project,Stage - 4,5000
758135504,5-WJWZ881,Phase - 4: Create a performance-focused culture,111,Services,Stage - 2,10000
75817504,6-WJWZ855,Phase - 2: Improve productivity with cross-functional teams,116,Project,Stage - 5,10000
75915505,6-WJWZ669,Phase - 3: Invest in tools to make staff more productive,117,Services,Stage - 4,5000
76116507,5-PBMJ585,Phase - 1: Improve employee retention,110,Services,Stage - 2,2730.0027
762142508,5-DAMD777,Phase - 2: Attract and retain the best people,117,Support,Stage - 3,3000
763112509,9-DAMD826,Phase - 5: Build high-performing teams,114,Labour,Stage - 4,5000
76314509,8-GKGD999,Phase - 2: Maintain alignment across the organization,109,Project,Stage - 4,800
764111510,7-GKGD674,Phase - 1: Develop leadership abilities and potential of the team,118,Services,Stage - 0,100
764165510,5-GKGD802,Phase - 3: Grow shareholder value,120,Support,Stage - 5,100
766151512,7-W4SX595,Phase - 2: Grow earnings per share,114,Labour,Stage - 1,136.5001
766179512,8-462U980,Phase - 5: Increase revenue,119,Project,Stage - 5,1365.0014
767116513,9-RGML941,Phase - 1: Manage cost,111,Services,Stage - 0,5460.0055
767146513,7-3VJD881,Phase - 3: Maintain appropriate financial leverage,110,Support,Stage - 0,1000
768142514,5-UPQX880,Phase - 4: Ensure favorable bond ratings,115,Labour,Stage - 5,15000
768154514,8-IDQ7946,Phase - 1: Balance the budget,116,Project,Stage - 5,10000
768176514,7-3FB4716,Phase - 2: Ensure financial sustainability,114,Labour,Stage - 2,10000
769121515,6-Q7K3848,Phase - 4: Maintain profitability,120,Project,Stage - 0,15000
769149515,9-TE6P918,Phase - 6: Diversify and grow revenue streams,116,Services,Stage - 5,10000
769161515,5-BZK2917,Phase - 3: Best value for the cost,116,Labour,Stage - 1,15000
770155516,6-U4VC961,Phase - 2: Broad product offering,118,Project,Stage - 0,15000
770175516,9-RHPR687,Phase - 6: Reliable products/services,120,Services,Stage - 2,10000
77111517,8-KSIZ827,Phase - 2: Cross-sell more products,119,Project,Stage - 4,5000
772141518,9-YZFG837,Phase - 7: Increase share of market,111,Services,Stage - 5,1000
772148518,9-NOEQ576,Phase - 1: Increase share of wallet,119,Support,Stage - 4,6825.0068
772155518,7-NOEQ926,Phase - 1: Partner with customers to provide solutions,111,Labour,Stage - 5,6825.0068
773119519,8-G55S920,Phase - 6: Best service,118,Project,Stage - 1,2000
77512521,6-G55S645,Phase - 7: Understands my needs,119,Project,Stage - 2,3000
780157526,7-PYIK846,Phase - 2: Most innovative products/services,109,Services,Stage - 0,4000
780171526,9-PYIK716,Phase - 7: Differentiate the product,112,Project,Stage - 4,4095.0041
781138527,6-VED3936,Phase - 1: Invest a certain amount in innovation,114,Services,Stage - 4,13650.0137
