 New Account No ,New Account Name,Industry,Sector,Account Segment,Account Manager Alias,Segment Manager,Industry Manager
551122297,Applicable Assortment,Libraries and Museums,Libraries and Museums,Strategic,UNDApms,Bilal G.,Andre D.
633122379,Random Row,Local Government,Public Safety,Priority PS,KELRaty,Andrew I.,Dan U.
693122439,Random Reason,Manufacturing,Automotive,Public Sector,LIBRave,John H.,Helen R.
706122452,Random Riders,Manufacturing,High Tech and Electronics,SMB,MIMRacs,Tom F.,Helen R.
953128699,Random Repair,National Government,Government Social Programs,Priority Commercial,LJARams,Stelios F.,Onur T.
960122706,Random Resource,National Government,Justice,Priority Commercial,SADRace,Stelios F.,Onur T.
376129122,Resource Refresh,National Government,Public Administration,Priority PS,UNDReon,Andrew I.,Onur T.
792125538,Random Refresh,National Government,Public Works and Services,Public Sector,UNDRaes,John H.,Onur T.
172125918,The Source,National Government,Resources and Environment,SMB,SWIThnt,Tom F.,Onur T.
535128281,Complete Collection,National Government,Tax and Revenue,SMC Comm,SIMCoue,Matthew L.,Onur T.
347129093,Sporadic Systems,Nonprofit,Charities and Philanthropic,SMC Education,SGRSpic,Ben Mk.,Dexter R.
173126919,Sufficient Support,Nonprofit,Membership Organizations,Strategic,MIPSuns,Bilal G.,Dexter R.
193126939,Random Release,Pharmaceuticals,Pharmaceuticals,SMC Comm,PAURals,Matthew L.,Rob K.
199126945,Random Report,Primary Education,Primary Education,SMC Education,KERRaon,Ben Mk.,Jenna L.
335127081,Random Warehouse,Professional Services,Accounting and Consulting,Strategic,UNDRang,Bilal G.,Jemma I.
945123691,Wanted Warehouse,Professional Services,Data,Priority PS,KRFWata,Andrew I.,Jemma I.
123127869,Full Force,Professional Services,IT Services,Public Sector,UNDFues,John H.,Jemma I.
288121034,Complete Competition,Professional Services,Legal Services,SMB,BECCoes,Tom F.,Jemma I.
139127885,Forge Ahead,Professional Services,Other Services,Priority Commercial,LEFFoes,Stelios F.,Jemma I.
152127898,Make It Count,Professional Services,Outsourced Services,Priority Commercial,ALHMaes,Stelios F.,Jemma I.
19121765,Count Your Blessings,Professional Services,Software,Priority PS,HAOCore,Andrew I.,Jemma I.
891122637,Creative Content,Retailers,Food Service,Public Sector,LKICrce,John H.,Garry N.
601126347,Content Construct,Retailers,General Merchandise,SMB,JAGCose,Tom F.,Garry N.
848126594,Clever Counts,Retailers,Grocery,SMC Comm,GASClry,Matthew L.,Garry N.
131127877,Counted Moments,Retailers,Motor Vehicle and Parts Dealers,SMC Education,JERCors,Ben Mk.,Garry N.
133124879,Make It Count,Retailers,Specialty Retail,Strategic,KRFMail,Bilal G.,Garry N.
646125392,Random Wishes,Smart Spaces,Architecture and Engineering,SMC Comm,JEBRang,Matthew L.,David B.
735124481,Wishful Wants,Smart Spaces,Construction,SMC Education,SIRWion,Ben Mk.,David B.
422127168,Dream Collection,Smart Spaces,Real Estate,Strategic,UNDDrte,Bilal G.,David B.
554126300,Contribution Collection,Smart Spaces,Water and Sewage,Priority PS,HEJCoge,Andrew I.,David B.
48123794,Rock And Random,Telecommunications,Hosters and ISPs,Public Sector,ELHRoPs,John H.,Paul P.
688126434,Race To Random,Telecommunications,Service Providers,SMB,ELHRars,Tom F.,Paul P.
603123349,Knick Knack Patty Wack,Travel and Transportation,Accommodation,Priority Commercial,CABKnon,Stelios F.,Rita R.
208123954,Trinkets And Toys,Travel and Transportation,Logistics and Trucking,Priority Commercial,KRFTrng,Stelios F.,Rita R.
122125868,Terrific Tchotchkes,Travel and Transportation,Transport Services,Priority PS,DAMTees,Andrew I.,Rita R.
212124958,Random,Banking,Banking,Public Sector,ALHRang,John H.,Tina Q.
961121707,Puzzles,Banking,Capital Markets/Securities,SMB,ANBPues,Tom F.,Tina Q.
687124433,Close Crowds,Chemicals,Automotive,SMC Comm,LEFClve,Matthew L.,Melina K.
690124436,Absent-Minded,Chemicals,Chemicals,SMC Education,JERAbls,Ben Mk.,Melina K.
805127551,Airhead,Consumer Goods,Consumer Goods,Strategic,UNDAids,Bilal G.,Maria J.
253121999,Accidental Kindness,Consumer Goods,Food and Beverage,SMC Comm,PAUAcge,Matthew L.,Maria J.
268122014,Odd And Ends,Consumer Goods,Wholesale Distribution,SMC Education,UNDOdon,Ben Mk.,Maria J.
3112777,X Marks The Spot,Defenses,National Security,Strategic,ALHX ty,Bilal G.,Melpo Y.
873127619,Adventures,Energy,Electricity and Gas Services,Priority PS,SWIAdes,Andrew I.,Peter J.
202121948,Essentials,Energy,Mining,Public Sector,LKIEsng,John H.,Peter J.
671126417,23Rd Century,Energy,Oil and Gas,SMB,LKI23as,Tom F.,Peter J.
123126869,Spiritual Beings,Entertainment and Media,Advertising,Priority Commercial,KAGSpng,Stelios F.,Pan R.
371122117,Life Paths,Entertainment and Media,Broadcasters,Priority Commercial,KRFLirs,Stelios F.,Pan R.
695125441,Shady Bootz,Entertainment and Media,Publishing,Priority PS,KASShng,Andrew I.,Pan R.
895126641,Missed Opps,Health,Health Payor,Public Sector,ROCMior,John H.,Ricci M.
44126790,In A Pinch,Health,Health Provider,SMB,RIBIner,Tom F.,Ricci M.
559126305,Empty Particles,Higher Education,Higher Education,SMC Comm,ANCEmon,Matthew L.,John Y.
225126971,Tainted,Insurance,Insurance Direct,SMC Education,MEBTact,Ben Mk.,Lena I.
11612862,Botched,Insurance,Insurance Other,Strategic,UNDBoer,Bilal G.,Lena I.
866127612,Locations,Local Government,Public Safety,SMC Education,MIPLoty,Ben Mk.,Dan U.
724123470,Dirty Mirrors,Manufacturing,Automotive,Strategic,LEFDive,Bilal G.,Helen R.
2125748,Stitched,Manufacturing,High Tech and Electronics,Priority PS,ANOStcs,Andrew I.,Helen R.
508126254,Sparkles,National Government,Government Social Programs,Public Sector,SUPSpms,John H.,Onur T.
2671213,Splashfest,National Government,Justice,SMB,JOMSpce,Tom F.,Onur T.
23312979,Besmirched,National Government,Public Administration,Priority Commercial,ALHBeon,Stelios F.,Onur T.
590126336,Seemusicplay,National Government,Public Works and Services,Priority Commercial,TODSees,Stelios F.,Onur T.
578121324,Finder’S Keepers,National Government,Resources and Environment,Priority PS,JOMFint,Andrew I.,Onur T.
297123043,Calm Down,National Government,Tax and Revenue,Public Sector,JICCaue,John H.,Onur T.
3291275,Turnt Up Tunes,Nonprofit,Charities and Philanthropic,SMB,KAGTuic,Tom F.,Dexter R.
582126328,Encountered,Nonprofit,Membership Organizations,SMC Comm,UNDEnns,Matthew L.,Dexter R.
591126337,Located,Pharmaceuticals,Pharmaceuticals,SMC Education,UNDLols,Ben Mk.,Rob K.
599128345,Sighted,Primary Education,Primary Education,Strategic,BECSion,Bilal G.,Jenna L.
88112627,Ferrets Live,Professional Services,Accounting and Consulting,SMC Comm,LJAFeng,Matthew L.,Jemma I.
599123345,Calm Down,Professional Services,Data,SMC Education,JADCata,Ben Mk.,Jemma I.
894123640,We Live Alive,Professional Services,IT Services,Strategic,KAGWees,Bilal G.,Jemma I.
950123696,Pointed Out,Professional Services,Legal Services,Priority PS,UNDPoes,Andrew I.,Jemma I.
 0015812-96 ,Working Girlz,Professional Services,Other Services,Public Sector,ROCWoes,John H.,Jemma I.
 0014112-113 ,Hook And Eye,Professional Services,Outsourced Services,SMB,JACHoes,Tom F.,Jemma I.
874126620,Snapshot,Professional Services,Software,Priority Commercial,TRRSnre,Stelios F.,Jemma I.
453121199,Shotclock,Retailers,Food Service,Priority Commercial,JOMShce,Stelios F.,Garry N.
386125132,Hidden Treasures,Retailers,General Merchandise,Priority PS,SWIHise,Andrew I.,Garry N.
933126679,Snared,Retailers,Grocery,Public Sector,UNDSnry,John H.,Garry N.
935126681,Drumms,Retailers,Motor Vehicle and Parts Dealers,SMB,MEBDrrs,Tom F.,Garry N.
74412490,Fast And Fly,Retailers,Specialty Retail,SMC Comm,PAMFail,Matthew L.,Garry N.
697121443,Wild Irish Flowers,Smart Spaces,Architecture and Engineering,SMC Education,UNDWing,Ben Mk.,David B.
382126128,Bolted,Smart Spaces,Construction,Strategic,PALBoon,Bilal G.,David B.
92012666,Buckle Up Kids,Smart Spaces,Real Estate,SMC Comm,UNDBute,Matthew L.,David B.
12512871,Cleaner Days,Smart Spaces,Water and Sewage,SMC Education,PUMClge,Ben Mk.,David B.
688121434,Heavy Live,Telecommunications,Hosters and ISPs,Strategic,OSSHePs,Bilal G.,Paul P.
913121659,Vappa Shop,Telecommunications,Service Providers,Priority PS,MARVars,Andrew I.,Paul P.
928121674,Forel Library,Travel and Transportation,Accommodation,Public Sector,SWIFoon,John H.,Rita R.
931121677,Node Tech,Travel and Transportation,Logistics and Trucking,SMB,RICNong,Tom F.,Rita R.
4121750,PrimeHouse,Travel and Transportation,Transport Services,Priority Commercial,KRFPres,Stelios F.,Rita R.
54112287,Voice Caption Center,Banking,Capital Markets/Securities,Priority PS,UNDVoes,Andrew I.,Tina Q.
716122462,FursKips,Chemicals,Automotive,Public Sector,SOPFuve,John H.,Melina K.
77512521,Limner Studio,Chemicals,Chemicals,SMB,SADLils,Tom F.,Melina K.
95123841,XyloFurniture,Consumer Goods,Consumer Goods,SMC Comm,UNDXyds,Matthew L.,Maria J.
267128013,Pop-Culture,Consumer Goods,Food and Beverage,SMC Education,JADPoge,Ben Mk.,Maria J.
56121802,Spray Shop,Consumer Goods,Wholesale Distribution,Strategic,CAGSpon,Bilal G.,Maria J.
143121889,Find Agenda,Defenses,National Security,SMC Comm,DAMFity,Matthew L.,Melpo Y.
47112217,CraftCreate,Energy,Electricity and Gas Services,SMC Education,NIWCres,Ben Mk.,Peter J.
181122927,FirstVictory,Energy,Mining,Strategic,UNDFing,Bilal G.,Peter J.
51123797,MoonStore,Energy,Oil and Gas,Priority PS,UNDMoas,Andrew I.,Peter J.
853122599,Silence Center,Entertainment and Media,Advertising,Public Sector,JADSing,John H.,Pan R.
19512941,WildWest,Entertainment and Media,Broadcasters,SMB,UNDWirs,Tom F.,Pan R.
607121353,Heart Beat,Entertainment and Media,Publishing,Priority Commercial,ALHHeng,Stelios F.,Pan R.
70127816,Legend Soul,Health,Health Payor,Priority Commercial,MIPLeor,Stelios F.,Ricci M.
632128378,Maxima Company,Health,Health Provider,Priority PS,JICMaer,Andrew I.,Ricci M.
86512611,Winter Shop,Higher Education,Higher Education,Public Sector,UNDWion,John H.,John Y.
465128211,TV-Partner,Insurance,Insurance Direct,SMB,CLWTVct,Tom F.,Lena I.
230128976,LiftCenter,Insurance,Insurance Other,SMC Comm,UNDLier,Matthew L.,Lena I.
235128981,Forest Shop,Libraries and Museums,Libraries and Museums,SMC Education,JICFoms,Ben Mk.,Andre D.
51812264,Thesis Company,Local Government,Public Safety,Strategic,HITThty,Bilal G.,Dan U.
82912575,MusicMany,Manufacturing,Automotive,SMC Comm,KRFMuve,Matthew L.,Helen R.
223126969,BreakDown,Manufacturing,High Tech and Electronics,SMC Education,PAMBrcs,Ben Mk.,Helen R.
592127338,Lion Family,National Government,Government Social Programs,Strategic,TOBLims,Bilal G.,Onur T.
794127540,Level Travel,National Government,Justice,Priority PS,UNDLece,Andrew I.,Onur T.
928127674,Ethnic Shop,National Government,Public Administration,Public Sector,SAHEton,John H.,Onur T.
5212798,Early Bird,National Government,Public Works and Services,SMB,KESEaes,Tom F.,Onur T.
440127186,Soprano House,National Government,Resources and Environment,Priority Commercial,PAMSont,Stelios F.,Onur T.
474127220,Red Room,National Government,Tax and Revenue,Priority Commercial,JADReue,Stelios F.,Onur T.
784127530,Novel Center,Nonprofit,Charities and Philanthropic,Priority PS,PAMNoic,Andrew I.,Dexter R.
842127588,Modestico,Nonprofit,Membership Organizations,Public Sector,CPEMons,John H.,Dexter R.
893127639,First Award,Pharmaceuticals,Pharmaceuticals,SMB,KELFils,Tom F.,Rob K.
953127699,Traffic Center,Primary Education,Primary Education,SMC Comm,SWITron,Matthew L.,Jenna L.
988127734,Ice Castle,Professional Services,Accounting and Consulting,SMC Education,UNDIcng,Ben Mk.,Jemma I.
991127737,KnowChance,Professional Services,Data,Strategic,PAMKnta,Bilal G.,Jemma I.
995127741,XPand,Professional Services,IT Services,SMC Comm,LKIXPes,Matthew L.,Jemma I.
443124189,NoWorries,Professional Services,Legal Services,SMC Education,SWINoes,Ben Mk.,Jemma I.
66124812,Elegance,Professional Services,Other Services,Strategic,SWIEles,Bilal G.,Jemma I.
85124831,Win Ribbon,Professional Services,Outsourced Services,Priority PS,UNDWies,Andrew I.,Jemma I.
859129605,Rent Platform,Professional Services,Software,Public Sector,UNDRere,John H.,Jemma I.
396139142,ZeroClerk,Retailers,Food Service,SMB,UNDZece,Tom F.,Garry N.
724137470,Paper City,Retailers,Grocery,Priority Commercial,SWIPary,Stelios F.,Garry N.
962135708,Witch Union,Retailers,Motor Vehicle and Parts Dealers,Priority PS,KHAWirs,Andrew I.,Garry N.
114136860,Poem House,Retailers,Specialty Retail,Public Sector,UNDPoil,John H.,Garry N.
653132399,Graphic Master,Smart Spaces,Architecture and Engineering,SMB,UNDGrng,Tom F.,David B.
808133554,ReadySketch,Smart Spaces,Construction,SMC Comm,SWIReon,Matthew L.,David B.
467136213,Live Symbol,Smart Spaces,Real Estate,SMC Education,UNDLite,Ben Mk.,David B.
883134629,Fresh Accent,Smart Spaces,Water and Sewage,Strategic,UNDFrge,Bilal G.,David B.
367138113,Flash Illusion,Telecommunications,Hosters and ISPs,SMC Comm,NIDFlPs,Matthew L.,Paul P.
348138094,Bluelake Realtors,Telecommunications,Service Providers,SMC Education,UNDBlrs,Ben Mk.,Paul P.
800137546,Yummy Meals,Travel and Transportation,Accommodation,Strategic,UNDYuon,Bilal G.,Rita R.
982131728,Best Bytes,Travel and Transportation,Logistics and Trucking,Priority PS,UNDBeng,Andrew I.,Rita R.
166134912,Kino Energy,Travel and Transportation,Transport Services,Public Sector,LJAKies,John H.,Rita R.
147138893,Saturn Wipers,Banking,Banking,SMB,KELSang,Tom F.,Tina Q.
 0000313-251 ,Poseidon’S Plates,Banking,Capital Markets/Securities,Priority Commercial,JADPoes,Stelios F.,Tina Q.
803136549,Distinct Clips,Chemicals,Automotive,Priority Commercial,TOBDive,Stelios F.,Melina K.
729135475,Argo Energy,Chemicals,Chemicals,Priority PS,ALHArls,Andrew I.,Melina K.
373138119,Arc Security,Consumer Goods,Consumer Goods,Public Sector,KRFArds,John H.,Maria J.
218133964,Fentech Batteries,Consumer Goods,Food and Beverage,SMB,SADFege,Tom F.,Maria J.
370134116,Crystal Diner,Consumer Goods,Wholesale Distribution,SMC Comm,DAGCron,Matthew L.,Maria J.
583134329,Crwonville Hotels,Defenses,National Security,SMC Education,JACCrty,Ben Mk.,Melpo Y.
946139692,Seaview Properties,Energy,Electricity and Gas Services,Strategic,SACSees,Bilal G.,Peter J.
109132855,Upsea Constructions,Energy,Mining,SMC Comm,KELUpng,Matthew L.,Peter J.
298138044,Maxx Dry-Cleaning,Energy,Oil and Gas,SMC Education,DAMMaas,Ben Mk.,Peter J.
568134314,Rexx Energy,Entertainment and Media,Advertising,Strategic,UNDReng,Bilal G.,Pan R.
45113197,Yellow Essence,Entertainment and Media,Broadcasters,Priority PS,JOBYers,Andrew I.,Pan R.
45413200,Natural Essentials,Entertainment and Media,Publishing,Public Sector,AARNang,John H.,Pan R.
588139334,Castleview Hotels,Health,Health Payor,SMB,SWICaor,Tom F.,Ricci M.
840135586,Valleyview Diners,Health,Health Provider,Priority Commercial,SWIVaer,Stelios F.,Ricci M.
450136196,Atlas Stationary,Higher Education,Higher Education,Priority Commercial,LIBAton,Stelios F.,John Y.
482136228,#NAME?,Insurance,Insurance Direct,Priority PS,UND+Sct,Andrew I.,Lena I.
430139176,Mindnsoles,Insurance,Insurance Other,Public Sector,SWIMier,John H.,Lena I.
758135504,Uniquetrac,Libraries and Museums,Libraries and Museums,SMB,ANOUnms,Tom F.,Andre D.
885136631,Supremeboots,Local Government,Public Safety,SMC Comm,NIWSuty,Matthew L.,Dan U.
931136677,Ten Fold Security,Manufacturing,Automotive,SMC Education,BECTeve,Ben Mk.,Helen R.
334137080,Daily Rise,Manufacturing,High Tech and Electronics,Strategic,CABDacs,Bilal G.,Helen R.
14137760,Aqua +,National Government,Government Social Programs,SMC Comm,CABAqms,Matthew L.,Onur T.
19137765,Blue Smoke,National Government,Justice,SMC Education,ANBBlce,Ben Mk.,Onur T.
781138527,Chloe’S Corner,National Government,Public Administration,Strategic,SWIChon,Bilal G.,Onur T.
206135952,Midsummer Night Grill,National Government,Public Works and Services,Priority PS,STTMies,Andrew I.,Onur T.
840136586,Mulletmasters,National Government,Resources and Environment,Public Sector,NIWMunt,John H.,Onur T.
980138726,Spicy Dinner,National Government,Tax and Revenue,SMB,TOBSpue,Tom F.,Onur T.
 0010913-145 ,Supremeplanners,Nonprofit,Charities and Philanthropic,Priority Commercial,KAGSuic,Stelios F.,Dexter R.
436136182,Crazy Chicken,Nonprofit,Membership Organizations,Priority Commercial,OSSCrns,Stelios F.,Dexter R.
635137381,Madmullet,Pharmaceuticals,Pharmaceuticals,Priority PS,CHPMals,Andrew I.,Rob K.
368134114,Allyouneed,Primary Education,Primary Education,Public Sector,UNDAlon,John H.,Jenna L.
326133072,Weheartsandals,Professional Services,Accounting and Consulting,SMB,JBEWeng,Tom F.,Jemma I.
527137273,Sunrisescones,Professional Services,Data,SMC Comm,PUMSuta,Matthew L.,Jemma I.
170138916,Clear Prints,Professional Services,IT Services,SMC Education,DAPCles,Ben Mk.,Jemma I.
291133037,Westend Schools,Professional Services,Legal Services,Strategic,MEBWees,Bilal G.,Jemma I.
783131529,Tall Oaks Bamboo,Professional Services,Other Services,SMC Comm,UNDTaes,Matthew L.,Jemma I.
123133869,Bluewhale Surfboards,Professional Services,Outsourced Services,SMC Education,UNDBles,Ben Mk.,Jemma I.
515135261,Wavefest Surfboards,Professional Services,Software,Strategic,KASWare,Bilal G.,Jemma I.
283136029,Unique Trends,Retailers,Food Service,Priority PS,PAMUnce,Andrew I.,Garry N.
963138709,For The Couture,Retailers,General Merchandise,Public Sector,ROOFose,John H.,Garry N.
541139287,Dynapower,Retailers,Grocery,SMB,KRFDyry,Tom F.,Garry N.
336136082,Gravitywears,Retailers,Motor Vehicle and Parts Dealers,Priority Commercial,KRFGrrs,Stelios F.,Garry N.
354134100,Better Leather,Retailers,Specialty Retail,Priority Commercial,GASBeil,Stelios F.,Garry N.
 0001013-244 ,Gorgunderwears,Smart Spaces,Architecture and Engineering,Priority PS,UNDGong,Andrew I.,David B.
427131173,JML SALES; INC,Smart Spaces,Construction,Public Sector,ANOJMon,John H.,David B.
966134712,Schaefer's Foods,Smart Spaces,Real Estate,SMB,UNDScte,Tom F.,David B.
967134713,Randy Davis,Smart Spaces,Water and Sewage,SMC Comm,UNDRage,Matthew L.,David B.
63613382,Empire Residential Sales; LP,Telecommunications,Hosters and ISPs,SMC Education,LJAEmPs,Ben Mk.,Paul P.
64813394,Dillards 748,Telecommunications,Service Providers,Strategic,LEFDirs,Bilal G.,Paul P.
81313559,Davids Clock Sales,Travel and Transportation,Accommodation,SMC Comm,DAMDaon,Matthew L.,Rita R.
84813594,Utility Service & Supply; Inc,Travel and Transportation,Logistics and Trucking,SMC Education,ANOUtng,Ben Mk.,Rita R.
88613632,Go Hart Merchandising,Travel and Transportation,Transport Services,Strategic,UNDGoes,Bilal G.,Rita R.
97513721,US Inspection Services Inc,Banking,Banking,Priority PS,DAMUSng,Andrew I.,Tina Q.
98913735,Schlein News Bureau,Banking,Capital Markets/Securities,Public Sector,UNDSces,John H.,Tina Q.
4413790,Video Klips,Chemicals,Automotive,SMB,UNDVive,Tom F.,Melina K.
392131138,Eric Berliner,Chemicals,Chemicals,Priority Commercial,PAMErls,Stelios F.,Melina K.
405131151,Integrity Plus Estate Sales,Consumer Goods,Consumer Goods,Priority Commercial,DAGInds,Stelios F.,Maria J.
478131224,YANKEE SUPPLY COMPANY,Consumer Goods,Food and Beverage,Priority PS,SWIYAge,Andrew I.,Maria J.
480131226,Karcher Mall Merchant Assn,Consumer Goods,Wholesale Distribution,Public Sector,UNDKaon,John H.,Maria J.
672131418,St Paul Growers Assn,Defenses,National Security,SMB,JADStty,Tom F.,Melpo Y.
567133313,COLLIERS BENNETT & KAHNWEILER,Energy,Electricity and Gas Services,SMC Comm,DAGCOes,Matthew L.,Peter J.
363139109,Elite Builders,Energy,Mining,SMC Education,BECElng,Ben Mk.,Peter J.
693139439,Dynamic Industries,Energy,Oil and Gas,Strategic,CABDyas,Bilal G.,Peter J.
543138289,Well-Spring,Entertainment and Media,Advertising,SMC Comm,KASWeng,Matthew L.,Pan R.
331136077,Openlane,Entertainment and Media,Broadcasters,SMC Education,UNDOprs,Ben Mk.,Pan R.
804138550,Yearin,Entertainment and Media,Publishing,Strategic,UNDYeng,Bilal G.,Pan R.
812138558,Goodsilron,Health,Health Payor,Priority PS,UNDGoor,Andrew I.,Ricci M.
808132554,Condax,Health,Health Provider,Public Sector,JICCoer,John H.,Ricci M.
719134465,Opentech,Higher Education,Higher Education,SMB,JOMOpon,Tom F.,John Y.
631138377,Golddex,Insurance,Insurance Direct,Priority Commercial,JICGoct,Stelios F.,Lena I.
657138403,year-job,Insurance,Insurance Other,Priority Commercial,KESyeer,Stelios F.,Lena I.
690138436,Isdom,Libraries and Museums,Libraries and Museums,Priority PS,NIWIsms,Andrew I.,Andre D.
711138457,Gogozoom,Local Government,Public Safety,Public Sector,UNDGoty,John H.,Dan U.
715138461,Y-corporation,Manufacturing,Automotive,SMB,STJY-ve,Tom F.,Helen R.
945138691,Nam-zim,Manufacturing,High Tech and Electronics,SMC Comm,TRRNacs,Matthew L.,Helen R.
260139006,Donquadtech,National Government,Government Social Programs,SMC Education,SOPDoms,Ben Mk.,Onur T.
325139071,Warephase,National Government,Justice,Strategic,HAOWace,Bilal G.,Onur T.
332139078,Donware,National Government,Public Administration,SMC Comm,KRFDoon,Matthew L.,Onur T.
410139156,Faxquote,National Government,Public Works and Services,SMC Education,UNDFaes,Ben Mk.,Onur T.
715134461,Sunnamplex,National Government,Resources and Environment,Strategic,CHSSunt,Bilal G.,Onur T.
180136926,Lexiqvolax,National Government,Tax and Revenue,Priority PS,GASLeue,Andrew I.,Onur T.
664137410,Sumace,Nonprofit,Charities and Philanthropic,Public Sector,JAGSuic,John H.,Dexter R.
7131753,Treequote,Nonprofit,Membership Organizations,SMB,KRFTrns,Tom F.,Dexter R.
197132943,Zencorporation,Primary Education,Primary Education,Priority Commercial,UNDZeon,Stelios F.,Jenna L.
847133593,Plusstrip,Professional Services,Accounting and Consulting,Priority PS,CLWPlng,Andrew I.,Jemma I.
747132493,dambase,Professional Services,Data,Public Sector,PALdata,John H.,Jemma I.
239138985,Toughzap,Professional Services,IT Services,SMB,UNDToes,Tom F.,Jemma I.
650132396,Codehow,Professional Services,Legal Services,SMC Comm,ANBCoes,Matthew L.,Jemma I.
255135001,Zotware,Professional Services,Other Services,SMC Education,KERZoes,Ben Mk.,Jemma I.
139137885,Statholdings,Professional Services,Outsourced Services,Strategic,BHBStes,Bilal G.,Jemma I.
468131214,Conecom,Professional Services,Software,SMC Comm,UNDCore,Matthew L.,Jemma I.
141132887,Zathunicon,Retailers,Food Service,SMC Education,UNDZace,Ben Mk.,Garry N.
134135880,Labdrill,Retailers,General Merchandise,Strategic,TODLase,Bilal G.,Garry N.
512139258,Ron-tech,Retailers,Grocery,Priority PS,JEBRory,Andrew I.,Garry N.
700131446,Green-Plus,Retailers,Motor Vehicle and Parts Dealers,Public Sector,PALGrrs,John H.,Garry N.
40132786,Groovestreet,Retailers,Specialty Retail,SMB,CLWGril,Tom F.,Garry N.
288137034,Zoomit,Smart Spaces,Architecture and Engineering,Priority Commercial,GASZong,Stelios F.,David B.
729132475,Bioplex,Smart Spaces,Construction,Priority Commercial,SGRBion,Stelios F.,David B.
 0002413-230 ,Zumgoity,Smart Spaces,Real Estate,Priority PS,JOMZute,Andrew I.,David B.
995137741,Scotfind,Smart Spaces,Water and Sewage,Public Sector,JOMScge,John H.,David B.
336138082,Dalttechnology,Telecommunications,Hosters and ISPs,SMB,ALHDaPs,Tom F.,Paul P.
924139670,Kinnamplus,Telecommunications,Service Providers,SMC Comm,JBEKirs,Matthew L.,Paul P.
846135592,Konex,Travel and Transportation,Accommodation,SMC Education,UNDKoon,Ben Mk.,Rita R.
57513321,Stanredtax,Travel and Transportation,Logistics and Trucking,Strategic,LKIStng,Bilal G.,Rita R.
67813424,Cancity,Travel and Transportation,Transport Services,SMC Comm,HITCaes,Matthew L.,Rita R.
866131612,Finhigh,Banking,Banking,SMC Education,ROCFing,Ben Mk.,Tina Q.
944131690,Kan-code,Banking,Capital Markets/Securities,Strategic,KESKaes,Bilal G.,Tina Q.
131746,Blackzim,Chemicals,Automotive,Priority PS,TRRBlve,Andrew I.,Melina K.
147131893,Dontechi,Chemicals,Chemicals,Public Sector,OSSDols,John H.,Melina K.
524131270,Xx-zobam,Consumer Goods,Consumer Goods,SMB,KELXxds,Tom F.,Maria J.
287132033,Fasehatice,Consumer Goods,Food and Beverage,Priority Commercial,UNDFage,Stelios F.,Maria J.
320132066,Hatfan,Consumer Goods,Wholesale Distribution,Priority Commercial,LIBHaon,Stelios F.,Maria J.
41313159,Streethex,Defenses,National Security,Priority PS,ANBStty,Andrew I.,Melpo Y.
648133394,Inity,Energy,Electricity and Gas Services,Public Sector,PAMInes,John H.,Peter J.
32138778,Konmatfix,Energy,Mining,SMB,GASKong,Tom F.,Peter J.
 0015913-95 ,Bioholding,Energy,Oil and Gas,SMC Comm,RMABias,Matthew L.,Peter J.
627137373,Hottechi,Entertainment and Media,Advertising,SMC Education,JACHong,Ben Mk.,Pan R.
947135693,Ganjaflex,Entertainment and Media,Broadcasters,Strategic,JERGars,Bilal G.,Pan R.
956135702,Betatech,Entertainment and Media,Publishing,SMC Comm,KESBeng,Matthew L.,Pan R.
70413450,Domzoom,Health,Health Payor,SMC Education,UNDDoor,Ben Mk.,Ricci M.
162136908,Ontomedia,Health,Health Provider,Strategic,UNDOner,Bilal G.,Ricci M.
178136924,Newex,Higher Education,Higher Education,Priority PS,JOMNeon,Andrew I.,John Y.
829138575,Betasoloin,Insurance,Insurance Direct,Public Sector,UNDBect,John H.,Lena I.
104136850,Mathtouch,Insurance,Insurance Other,SMB,UNDMaer,Tom F.,Lena I.
888139634,Rantouch,Libraries and Museums,Libraries and Museums,Priority Commercial,NIDRams,Stelios F.,Andre D.
547132293,Silis,Local Government,Public Safety,Priority Commercial,NIWSity,Stelios F.,Dan U.
368135114,Plussunin,Manufacturing,Automotive,Priority PS,YIWPlve,Andrew I.,Helen R.
300134046,Plexzap,Manufacturing,High Tech and Electronics,Public Sector,JACPlcs,John H.,Helen R.
718136464,Finjob,National Government,Government Social Programs,SMB,CABFims,Tom F.,Onur T.
975137721,Xx-holding,National Government,Justice,SMC Comm,PALXxce,Matthew L.,Onur T.
13137759,Scottech,National Government,Public Administration,SMC Education,LKIScon,Ben Mk.,Onur T.
711139457,Funholding,National Government,Public Works and Services,Strategic,MIMFues,Bilal G.,Onur T.
130134876,Sonron,National Government,Resources and Environment,SMC Comm,CABSont,Matthew L.,Onur T.
409135155,Singletechno,National Government,Tax and Revenue,SMC Education,UNDSiue,Ben Mk.,Onur T.
451135197,Rangreen,Nonprofit,Charities and Philanthropic,Strategic,GASRaic,Bilal G.,Dexter R.
325131071,J-Texon,Nonprofit,Membership Organizations,Priority PS,UNDJ-ns,Andrew I.,Dexter R.
232136978,Rundofase,Pharmaceuticals,Pharmaceuticals,Public Sector,UNDRuls,John H.,Rob K.
854139600,Doncon,Primary Education,Primary Education,SMB,PHGDoon,Tom F.,Jenna L.
 0021013-44 ,lous 7,Professional Services,Accounting and Consulting,Priority Commercial,UNDsyng,Stelios F.,Jemma I.
